UID,NID
U236341,N41484
U236341,N40446
U236341,N6255
U236341,N61252
U236341,N113833
U236341,N108726
U236341,N13337
U236341,N76561
U236341,N39483
U236341,N12721
U236341,N34985
U236341,N18389
U236341,N123633
U236341,N61504
U236341,N81937
U236341,N47587
U236341,N117203
U236341,N91
U236341,N33177
U236341,N108143
U236341,N67397
U236341,N87105
U236341,N9375
U236341,N108621
U236341,N130260
U236341,N110918
U236341,N454
U236341,N85624
U236341,N127916
U236341,N54042
U236341,N68153
U236341,N28385
U236341,N85265
U236341,N102417
U236341,N81692
U236341,N121168
U236341,N119800
U236341,N67670
U236341,N17746
U236341,N81982
U236341,N60001
U236341,N47265
U236341,N23117
U236341,N51964
U236341,N100119
U236341,N10737
U236341,N77742
U236341,N23128
U236341,N85807
U236341,N66190
U236341,N79285
U236341,N4598
U236341,N627
U236341,N44524
U236341,N120859
U236341,N36680
U236341,N78756
U236341,N31109
U236341,N36397
U236341,N27415
U236341,N92079
U236341,N36573
U236341,N5674
U236341,N45444
U236341,N119778
U236341,N5068
U236341,N21880
U236341,N30321
U236341,N59090
U236341,N29753
U236341,N34867
U236341,N74586
U236341,N110836
U236341,N95413
U236341,N13510
U236341,N127177
U236341,N67790
U236341,N24344
U236341,N110560
U236341,N121643
U236341,N896
U236341,N60722
U236341,N114848
U236341,N23264
U236341,N91810
U236341,N71112
U236341,N106403
U236341,N1596
U236341,N58653
U236341,N129084
U236341,N20251
U236341,N11878
U236341,N72640
U236341,N112751
U236341,N82243
U236341,N75373
U236341,N98095
U236341,N79781
U236341,N114571
U236341,N23899
U236341,N91597
U236341,N39785
U236341,N40584
U236341,N114581
U236341,N35053
U236341,N59573
U236341,N58228
U236341,N61321
U236341,N4066
U236341,N122784
U236341,N128483
U236341,N56768
U236341,N94407
U236341,N81299
U236341,N15611
U236341,N58200
U236341,N5326
U236341,N79026
U236341,N126955
U236341,N96000
U236341,N40765
U236341,N18819
U236341,N93397
U236341,N106702
U236341,N50891
U236341,N43087
U236341,N59836
U236341,N91923
U236341,N87146
U236341,N55235
U236341,N50831
U236341,N19543
U695557,N23947
U695557,N15464
U695557,N63723
U695557,N88053
U695557,N104081
U695557,N71586
U695557,N29189
U695557,N10525
U695557,N74092
U695557,N16894
U695557,N128643
U695557,N93662
U695557,N30182
U695557,N61319
U695557,N74317
U695557,N19524
U695557,N24738
U695557,N31043
U695557,N17645
U695557,N64765
U695557,N62936
U695557,N97902
U695557,N102357
U695557,N109183
U695557,N111377
U695557,N112324
U695557,N67420
U695557,N130269
U695557,N92144
U695557,N63222
U695557,N98238
U695557,N85056
U695557,N111348
U695557,N118342
U695557,N43360
U695557,N73122
U695557,N17746
U695557,N49347
U695557,N454
U695557,N116367
U695557,N108284
U695557,N105460
U695557,N29153
U695557,N52736
U695557,N78667
U695557,N102417
U695557,N51724
U695557,N105888
U695557,N21547
U695557,N6799
U695557,N4072
U695557,N62450
U695557,N73478
U695557,N18906
U695557,N43905
U695557,N87055
U695557,N67386
U695557,N69016
U695557,N121168
U695557,N79285
U695557,N26043
U695557,N11823
U695557,N54133
U695557,N23898
U695557,N129310
U695557,N50645
U695557,N113192
U695557,N48426
U695557,N25197
U695557,N54360
U695557,N77734
U695557,N94492
U695557,N58653
U695557,N82243
U695557,N110158
U695557,N72976
U695557,N107516
U695557,N21239
U695557,N71857
U695557,N98095
U695557,N94196
U695557,N121418
U695557,N108312
U695557,N88348
U695557,N16953
U695557,N97784
